SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),
11,West Bengal,Paschim Bardhaman,EGARA & NARAYANKURI UNDER MAHABIR COLLIERY,0.08,ECL,Coal,G,UG,23.57341,87.10873,"https://www.google.com/maps/search/%22NARAYANKURI%22+%2B++Paschim+Burdwan/@23.390141,87.2166216,10z/data=!3m1!4b1",Approximate,
12,West Bengal,Paschim Bardhaman,Satgram Incline ,0.03,ECL,Coal,G,UG,23.6827,87.0703,"Google Maps: https://www.google.com/maps/place/Satgram+Incline+Colliery/@23.6824803,87.0680696,17z/data=!3m1!4b1!4m5!3m4!1s0x39f71778eff27d13:0xe26b14af59e4320b!8m2!3d23.6824754!4d87.0702583",Exact,
13,West Bengal,Paschim Bardhaman,CHAPUIKHAS COLLIERY,0.03,ECL,Coal,G,UG,23.6545,87.0449,"Google Maps: https://www.google.com/maps/search/chapui+khas/@23.6542977,87.0402947,16z",Approximate: center coordinates of Chapui area,
14,West Bengal,Paschim Bardhaman,J K NAGAR,0.13,ECL,Coal,G,UG,23.649,87.067,"Google Maps: https://www.google.com/maps/place/J+K+Nagar+Colliery/@23.6489812,87.0668381,21z/data=!4m5!3m4!1s0x39f71756d12f5019:0x6c9866f6a11cc4c9!8m2!3d23.6489763!4d87.0669749",Exact,
15,West Bengal,Paschim Bardhaman,PURE SEARSOLE,0.05,ECL,Coal,G,UG,23.6457,87.0872,"Google Maps: https://www.google.com/maps/place/Pure+Searsole+Colliery/@23.6455079,87.0845103,17z/data=!4m12!1m6!3m5!1s0x39f71734126091c1:0x908877746e9f6fef!2sPure+Searsole+Colliery!8m2!3d23.645503!4d87.086699!3m4!1s0x39f71734126091c1:0x908877746e9f6fef!8m2!3d23.645503!4d87.086699",Approximate: PIN 713339,
16,West Bengal,Paschim Bardhaman, AMRITNAGAR ,0.1,ECL,Coal,G,UG,23.6155,87.086,"Google Maps: https://www.google.com/maps/place/AMRITNAGAR+COLLIERY,+H.+T.+SUBSTATION+NO3PIT/@23.6162792,87.0844508,17z/data=!4m8!1m2!2m1!1samritnagar+colliery+713347!3m4!1s0x0:0xebb3b1d18d1c6457!8m2!3d23.6156072!4d87.0863606",Approximate: PIN 713339,
17,West Bengal,Paschim Bardhaman, KUNUSTORIA ,0.11,ECL,Coal,G,UG,23.6499,87.1302,"Google Maps: https://www.google.com/maps/place/Kunustoria+Colliery/@23.6498893,87.1294823,19z/data=!4m5!3m4!1s0x39f716b1a8913d9f:0x655804a2efecb465!8m2!3d23.6498844!4d87.1300295",Approximate: PIN 713362,
18,West Bengal,Paschim Bardhaman, PARASEA ,0.16,ECL,Coal,G,UG,23.6517,87.1629,"Google Maps: https://www.google.com/maps/place/Parasea+Colliery/@23.6496693,87.1598094,17z/data=!4m13!1m7!3m6!1s0x39f7140ca3447c1f:0x76d8f740b233f281!2sParasia,+West+Bengal,+India!3b1!8m2!3d23.6511104!4d87.1597417!3m4!1s0x39f71472dbe5db91:0x1fa7d6249ca298!8m2!3d23.6516249!4d87.1629685",Approximate: PIN 713342,
19,West Bengal,Paschim Bardhaman, BELBAID,0.06,ECL,Coal,G,UG,23.6577,87.141,"Google Maps: https://www.google.com/maps/search/%C2%A0BELBAID/@23.6576093,87.1387617,17z",Approximate: coordinates in Belbaid area,
20,West Bengal,Paschim Bardhaman, KHANDRA ,0.07,ECL,Coal,G,UG,23.6414,87.2228,"Google Maps: https://www.google.com/maps/place/Khandra+Colliery+Mines/@23.6415006,87.2227818,21z/data=!4m13!1m7!3m6!1s0x39f76caae921a853:0x99ec5578ef19d79c!2sKhandra+Colliery(NKJ+Unit),+West+Bengal+713363,+India!3b1!8m2!3d23.6411174!4d87.2238857!3m4!1s0x39f76caac430eb01:0x40a2b66ea243d917!8m2!3d23.6414074!4d87.2228301",Exact,
21,West Bengal,Paschim Bardhaman, SHYAMSUNOERPUR ,0.83,ECL,Coal,G,UG,23.6483,87.2575,"Google Maps: https://www.google.com/maps/place/Shyamsundarpur+Colliery/@23.6482932,87.2573474,21z/data=!4m5!3m4!1s0x39f76b7e978a1847:0xa351c745d913b5f7!8m2!3d23.6482883!4d87.2574842",Approximate,
22,West Bengal,Paschim Bardhaman, KUMARDIH A ,0.09,ECL,Coal,G,UG,23.667,87.2625,"Google Maps: https://www.google.com/maps/place/Kumardihi+'A'+Colliery/@23.6669499,87.2624201,20z/data=!4m8!1m2!2m1!1s%C2%A0KUMARDIH+A%C2%A0colliery!3m4!1s0x39f76ba3e5e11321:0x9d6b92c95c3da73c!8m2!3d23.6669354!4d87.2624999",Exact,
23,West Bengal,Paschim Bardhaman, TILABONI ,0.15,ECL,Coal,G,UG,23.6549,87.2821,"Google Maps: https://www.google.com/maps/place/Tilaboni+Colliery+Local+Field/@23.6549244,87.2818413,19z/data=!4m13!1m7!3m6!1s0x39f76b8d7732bb57:0xbd689a5e3db70d6a!2sTilaboni+Colliery+Area+Colony,+Chak+Jharia,+West+Bengal+713363,+India!3b1!8m2!3d23.6551177!4d87.2801733!3m4!1s0x39f76bf2b63fa56b:0x24534d7b9c9e1b0f!8m2!3d23.6548649!4d87.282123",Exact,
24,West Bengal,Paschim Bardhaman, SANKARPUR ,0.27,ECL,Coal,G,UG,23.6839,87.2382,"Google Maps: https://www.google.com/maps/place/Sankarpur+Colliery/@23.6839141,87.2379664,20z/data=!4m5!3m4!1s0x39f76b23c0326921:0x112ed605643ffbd7!8m2!3d23.6839092!4d87.23824",Exact,
25,West Bengal,Paschim Bardhaman,BANKOLA,0.2,ECL,Coal,G,UG,23.6592,87.2367,"Google Maps: https://www.google.com/maps/place/Bankola+4no.+Colliery/@23.6592353,87.2365581,21z/data=!4m8!1m2!2m1!1sBANKOLA+colliery!3m4!1s0x39f76b44774d84ab:0x1a207e978e69552c!8m2!3d23.6592324!4d87.2366528",Exact,
26,West Bengal,Paschim Bardhaman, CL JAMBAD COLLY ,0.05,ECL,Coal,G,UG,23.6543,87.1979,"Google Maps: https://www.google.com/maps/place/C+L+JAMBAD+COLLIERY/@23.6543388,87.1977568,21z/data=!4m5!3m4!1s0x39f71499e489f77b:0x98dbc167e1faeef0!8m2!3d23.6543339!4d87.1978936",Exact,
27,West Bengal,Paschim Bardhaman, LOWER KENDA COTLY ,0.07,ECL,Coal,G,UG,23.67752975,87.1692848,"Google Maps: https://www.google.com/maps/place/23%C2%B040'38.3%22N+87%C2%B010'09.5%22E/@23.6749763,87.1674807,1332m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d23.6773!4d87.1693",Approximate: Kenda Area,
28,West Bengal,Paschim Bardhaman, CHORA 1O PIT COLLY ,0.04,ECL,Coal,G,UG,23.6783,87.2023,"Google Maps: https://www.google.com/maps/place/Chora+10+pit+colliery/@23.6782799,87.2002708,17z/data=!4m8!1m2!2m1!1s%C2%A0CHORA+1O+colliery!3m4!1s0x0:0x3400bef2112673af!8m2!3d23.6780794!4d87.2023085",Approximate: PIN 713322,
29,West Bengal,Paschim Bardhaman,BAHULA,0.15,ECL,Coal,G,UG,23.6639,87.1811,"Google Maps: https://www.google.com/maps/place/Bahula+colliery+Agent+office/@23.663708,87.180937,21z/data=!4m8!1m2!2m1!1sBAHULA+colliery!3m4!1s0x39f7159be8eb3a73:0x2620413e75d48356!8m2!3d23.663708!4d87.1810738",Approximate: Bahula Colliery Agent Office,
30,West Bengal,Paschim Bardhaman, CHORA 7&9 PIT COLLY ,0.1,ECL,Coal,G,UG,23.6749,87.1906,"Google Maps: https://www.google.com/maps/place/Pritilata+S.S.K.+-Chhora+7%2F9+Pit/@23.6748639,87.1903921,21z/data=!4m5!3m4!1s0x39f714f1b0db0697:0x6e0583cd2f5a6d03!8m2!3d23.674859!4d87.1905289",Approximate: PIN 713342,
31,West Bengal,Paschim Bardhaman, SIDULI COLLY ,0.09,ECL,Coal,G,UG,23.6499,87.2093,"Google Maps: https://www.google.com/maps/place/Siduli+Colliery/@23.64989,87.209135,21z/data=!4m8!1m2!2m1!1s%C2%A0SIDULI+COlliery!3m4!1s0x39f714a432213139:0x6662fbe7215035f6!8m2!3d23.64989!4d87.2092718",Exact,
32,West Bengal,Paschim Bardhaman, CHINAKURI-III ,0.06,ECL,Coal,G,UG,23.6853,86.8596,"Google Maps: https://www.google.com/maps/place/Chinakuri+3+Pit+Colliery/@23.6851083,86.8594732,19z/data=!4m8!1m2!2m1!1s%C2%A0CHINAKURI+colliery!3m4!1s0x39f6e0fe34dfa985:0xe8d84f5555cb75a3!8m2!3d23.6852802!4d86.8596053",Exact,
33,West Bengal,Paschim Bardhaman, METHANI ,0.04,ECL,Coal,G,UG,23.6946,86.8902,"Google Maps: https://www.google.com/maps/place/Mithani+colliery+ground/@23.6945375,86.8898848,20z/data=!4m8!1m2!2m1!1zwqBNRVRIQU5JwqBjb2xsaWVyeQ!3m4!1s0x0:0xa085f84573181f7a!8m2!3d23.6945375!4d86.8901584",Approximate: Mithani Colliery ground,
34,West Bengal,Paschim Bardhaman,Sodepur,0.02,ECL,Coal,G,UG,23.6882,86.8545,"Google Maps: https://www.google.com/maps/place/Sodepur+%23+9+Colliery/@23.6881924,86.8543691,20z/data=!4m8!1m2!2m1!1sSodepur+colliery!3m4!1s0x39f6e0fcf5076753:0x80be914f9f3e1ced!8m2!3d23.6881613!4d86.8545252",Approximate: PIN 713333,
35,West Bengal,Paschim Bardhaman, BEJDIH ,0.03,ECL,Coal,G,UG,23.6935,86.8753,"Google Maps: https://www.google.com/maps/place/Bejdih+colliery+Durga+Mandir/@23.6935072,86.8751903,21z/data=!4m8!1m2!2m1!1zwqBCRUpESUjCoGNvbGxpZXJ5!3m4!1s0x0:0xc2e9325fe7b9b88d!8m2!3d23.6935072!4d86.8753271",Approximate: coodinates of nearby Bejdih Colliery Durga Mandir,
36,West Bengal,Paschim Bardhaman,NARSUMUDA,0.06,ECL,Coal,G,UG,23.6901,86.9149,"Google Maps: https://www.google.com/maps/place/Narsamuda+Colliery/@23.6901031,86.9147598,21z/data=!4m5!3m4!1s0x39f71fcc3321a917:0xcd4354511d98d33f!8m2!3d23.6900982!4d86.9148966",Exact,
37,West Bengal,Paschim Bardhaman, PATMOHONA ,0.03,ECL,Coal,G,UG,23.6853,86.8903,"Google Maps: https://www.google.com/maps/place/Patmohona+Colliery,+ECL/@23.6854007,86.8900313,19z/data=!4m13!1m7!3m6!1s0x39f6e033dd18fdeb:0xbf95842d0f3f2de7!2sPatmohona+Colliery+More,+West+Bengal+713371!3b1!8m2!3d23.6898788!4d86.8886409!3m4!1s0x39f6e032d0ea35a7:0x6f7d19b3f7b9f3e6!8m2!3d23.6852359!4d86.8901664",Approximate: PIN 713333,
38,West Bengal,Paschim Bardhaman, DHEMOMAIN PIT ,0.03,ECL,Coal,G,UG,23.7046,86.9087,"Google Maps: https://www.google.com/maps/place/Dhemomain+Football+ground/@23.7045721,86.9086126,21z/data=!4m8!1m2!2m1!1s%C2%A0DHEMOMAIN!3m4!1s0x0:0xc13fdc14979de979!8m2!3d23.7045722!4d86.9087494",Approximate: football ground in Dhemomain area,
39,West Bengal,Paschim Bardhaman, DHEMOMAIN INCLINE ,0.02,ECL,Coal,G,UG,23.7046,86.9087,"Google Maps: https://www.google.com/maps/place/Dhemomain+Football+ground/@23.7045721,86.9086126,21z/data=!4m8!1m2!2m1!1s%C2%A0DHEMOMAIN!3m4!1s0x0:0xc13fdc14979de979!8m2!3d23.7045722!4d86.9087494",Approximate: football ground in Dhemomain area,
40,West Bengal,Paschim Bardhaman," MANOERBONI & SOUTH SAMLAAMALGATEO, MINE ",0.08,ECL,Coal,G,UG,23.7112,87.314,"Google Maps: https://www.google.com/maps/place/SAMLA+MANDERBONI+COLLIERY+HIGH+SCHOOL(H.S.)/@23.7112248,87.3140212,20z/data=!4m13!1m7!3m6!1s0x39f7698b09e7aa2b:0xc012614bda846cad!2sManderboni+Colliery,+Konda,+West+Bengal+713381,+India!3b1!8m2!3d23.7143001!4d87.306894!3m4!1s0x39f76993d214d31d:0xdacb515155ada5b4!8m2!3d23.7111649!4d87.3140278",Approximate: coordinates of nearby Samla Manderboni Colliery high school,
41,West Bengal,Paschim Bardhaman, PANDAVESWAR ,0.1,ECL,Coal,G,UG,23.7183,87.2714,"Google Maps: https://www.google.com/maps/place/Pandaveswar,+West+Bengal,+India/@23.7157328,87.2363368,13z/data=!3m1!4b1!4m5!3m4!1s0x39f76a338433c209:0x2f64cc3b00dfebfd!8m2!3d23.7096875!4d87.2767544",Approximate: center coordinates of Pandaveswar area,
42,West Bengal,Paschim Bardhaman, KOTTADIH UG ,0.35,ECL,Coal,G,UG,23.7233,87.2419,"Google Maps: https://www.google.com/maps/place/Khottadih+Colliery,+Pandaveswar,+West+Bengal+713378,+India/@23.7226146,87.2350501,15z/data=!3m1!4b1!4m5!3m4!1s0x39f76a965d348b69:0x99bbfcc1e4f842af!8m2!3d23.7239818!4d87.2444182",Approximate: middle coordinate of Khottadih area,
43,West Bengal,Paschim Bardhaman, BONJEMEHARI (EXTN) ,0.41,ECL,Coal,G,OC,23.787,86.876,"Google Maps: https://www.google.com/maps/place/Bonjemehari+Colliery,+Jemari,+West+Bengal+713357,+India/@23.7871007,86.8743362,17z/data=!4m5!3m4!1s0x39f6df0ed01f3cdb:0x6b6fd76a5bbb9e67!8m2!3d23.7868527!4d86.8759761",Exact,
44,West Bengal,Paschim Bardhaman, MOHANPUR (EXPN) ,1,ECL,Coal,G,OC,23.7867,86.951,"Google Maps: https://www.google.com/maps/place/Mohanpur+Colliery+OCP+(ECL)/@23.7867967,86.9466256,16z/data=!4m5!3m4!1s0x39f721538992c009:0x9fa6a5f982daae58!8m2!3d23.786797!4d86.951002",Exact,
45,West Bengal,Paschim Bardhaman, GOURANOIH EXPN ,0.1,ECL,Coal,G,OC,23.8153,86.9947,"Google Maps: https://www.google.com/maps/place/Gourandi+Colliery/@23.8153315,86.9945757,21z/data=!4m5!3m4!1s0x39f723efb0caa597:0x4f2ce18c1abf9f10!8m2!3d23.8153266!4d86.9947125",Exact,
46,West Bengal,Paschim Bardhaman, DABAR PH III ,1.03,ECL,Coal,G,OC,23.7895,86.9173,"Google Maps: https://www.google.com/maps/place/Dabor+Coal+Mines/@23.7894534,86.9167259,19z/data=!4m5!3m4!1s0x39f7208e7f41f45f:0x7e8bcbaa4492b443!8m2!3d23.7894485!4d86.9172731",Approximate: Dabor Coal Mines,
47,West Bengal,Paschim Bardhaman, ITAPARA ,0.05,ECL,Coal,G,OC,23.7879,86.9786,"Google Maps: https://www.google.com/maps/place/Itapara,+West+Bengal,+India/@23.7878287,86.9776331,17z/data=!4m5!3m4!1s0x39f7217e8039e24d:0x6515735a2792a135!8m2!3d23.7870876!4d86.9767515",Approximate coordinates of Itapara area,
48,West Bengal,Paschim Bardhaman,GOURANDIH BEGUNIA,1.02,ECL,Coal,G,OC,23.805,87.02553,"Google Maps: https://www.google.com/maps/place/Gourandi+Begunia+Colliery/@23.8049714,87.0252562,20z/data=!4m5!3m4!1s0x39f7230b23457fe7:0x210841bc8e5f98a7!8m2!3d23.8049665!4d87.0255298",Exact,
49,West Bengal,Paschim Bardhaman, KALIPAHARI OC PATCH A ,0.06,ECL,Coal,G,OC,23.6673,87.012,"Google Maps: https://www.google.com/maps/place/Kalipahari+Colliery/@23.6672505,87.0117506,20z/data=!4m5!3m4!1s0x39f719835ea37db7:0x932bf99f497648c5!8m2!3d23.6672456!4d87.0120242",Exact,
50,West Bengal,Paschim Bardhaman, SONEPUR BAZARI PROJECT ,11.1,ECL,Coal,G,OC,23.7011,87.2054,"Google Maps: https://www.google.com/maps/place/Sonepur+Bazari+Project+Office+ECL/@23.7011366,87.2052218,21z/data=!4m5!3m4!1s0x39f715233d729683:0x38c25db7d9a61132!8m2!3d23.7011317!4d87.2053586",Approximate: coordinates of nearby Sonepur Bazari Project Office ECL,
51,West Bengal,Paschim Bardhaman, JAMBAD ,0.59,ECL,Coal,G,OC,23.654,87.177,"Google Maps: https://www.google.com/maps/place/Jambad+Colliery,+West+Bengal,+India/@23.6539506,87.1759238,18z/data=!4m5!3m4!1s0x39f7147b5106d207:0x11d9b3f404802b12!8m2!3d23.6540233!4d87.1768761",Approximate: center coordinate of Jambad colliery area,
52,West Bengal,Paschim Bardhaman, NORTH SEARSOLE ,0.65,ECL,Coal,G,OC,23.6626,87.1142,"Google Maps: https://www.google.com/maps/place/North+searsole+ocp/@23.6625603,87.1135343,19z/data=!4m5!3m4!1s0x39f717ca749c0f39:0x4114327c1fe85e37!8m2!3d23.6625554!4d87.1140815",Approximate: PIN 713362,
53,West Bengal,Paschim Bardhaman,KHOTADIH OC,1.16,ECL,Coal,G,OC,23.7244,87.233,"Google Maps: https://www.google.com/maps/place/Khottadih+O.c.p+Agent+Office/@23.7242429,87.2320667,18z/data=!4m8!1m2!2m1!1sKhottadih-O.C.P+Rd,+Khottadih+Colliery,+Pandaveswar,+West+Bengal,+India!3m4!1s0x39f76aba8d5a3a39:0xe195c222fae72a02!8m2!3d23.7244979!4d87.233174",Approximate: coordinates of nearby Khottadih O.C.P. agent office,
54,West Bengal,Paschim Bardhaman,DALURBANDH,0.55,ECL,Coal,G,OC,23.7168,87.266,"Google Maps: https://www.google.com/maps/place/Dalurbandh+Colliery+office/@23.7167258,87.2634085,17z/data=!4m8!1m2!2m1!1sDALURBANDH+colliery!3m4!1s0x39f76b24fad3bb1b:0xceffc247e3100e3!8m2!3d23.7167097!4d87.2659356",Approximate: coordinates of nearby Dalurbandh Colliery office,
55,West Bengal,Paschim Bardhaman,BHANORA W/B (UG & OC),0.48,ECL,Coal,G,Mixed,23.7276,86.9943,"Google Maps: https://www.google.com/maps/place/Bhanora+West+Block+Colliery/@23.7275679,86.9941439,21z/data=!4m5!3m4!1s0x39f718a674a78e49:0x3d709593e1a2f07a!8m2!3d23.727563!4d86.9942807",Exact,
56,West Bengal,Paschim Bardhaman,"MADHABPUR UG & MADHABPUR
OC",0.38,ECL,Coal,G,Mixed,23.6313,87.1746,"Google Maps: https://www.google.com/maps/place/Madhabpur+colliery/@23.6312957,87.1744229,21z/data=!4m5!3m4!1s0x39f71385287952c3:0x172f88d58480882e!8m2!3d23.6312908!4d87.1745597",Exact,
57,West Bengal,Paschim Bardhaman,NIMCHA COLLY,0.34,ECL,Coal,G,Mixed,23.7495,86.8572,"Google Maps: https://www.google.com/maps/place/Nimcha+Colliery/@23.7493154,86.8549058,17z/data=!3m1!4b1!4m5!3m4!1s0x39f710a5668bad0f:0xa0cfdabfdd649152!8m2!3d23.7493105!4d86.8570945",Exact,
58,West Bengal,Paschim Bardhaman,BANSRA,0.73,ECL,Coal,G,Mixed,23.6296,87.1382,"Google Maps: https://www.google.com/maps/place/ECL+-+C+Pit+Bansra+Colliery/@23.629646,87.1380649,21z/data=!4m5!3m4!1s0x39f71159e3dcc4b3:0x44c70e977d6344eb!8m2!3d23.6296411!4d87.1382017",Exact,
59,West Bengal,Paschim Bardhaman,NAKRAKONDA.KUMARDIH B,0.18,ECL,Coal,G,Mixed,23.67963,87.28763,"https://www.google.com/maps/place/Nakrakonda+Branch+Post+Office/@23.6804687,87.2853027,17z/data=!4m13!1m7!3m6!1s0x39f76bcf590ed005:0x2efbd8ec0348bd0e!2sNakrakonda,+West+Bengal+713363,+India!3b1!8m2!3d23.6808856!4d87.287321!3m4!1s0x39f76bc5fb0f1cc9:0xa7be40ec3b6a7937!8m2!3d23.6795495!4d87.2871179",Exact,
60,West Bengal,Paschim Bardhaman,"CHORA BLOCK INCLINE,
SHANKARPUR OC &
BONBAHAL OC",0.74,ECL,Coal,G,Mixed,23.6729,87.2033,"Google Maps: https://www.google.com/maps/place/Chora+Block+Incline/@23.6730331,87.2027107,19z/data=!4m12!1m6!3m5!1s0x39f714c21f076f0d:0xfa4f8c22d49c8f6e!2sChora+Block+Incline!8m2!3d23.6728971!4d87.2032146!3m4!1s0x39f714c21f076f0d:0xfa4f8c22d49c8f6e!8m2!3d23.6728971!4d87.2032146",Approximate: coordinates of Chora Block Incline,
61,West Bengal,Paschim Bardhaman,NEW KENDA UG & OC,0.16,ECL,Coal,G,Mixed,23.6657,87.1624,"Google Maps: https://www.google.com/maps/place/NEW+KENDA+COLLIERY+OFFICE/@23.6656549,87.1622752,21z/data=!4m5!3m4!1s0x39f7146aac78af83:0xd104b63811e92e65!8m2!3d23.66565!4d87.162412",Approximate: coordinates of New Kenda colliery office,
62,West Bengal,Paschim Bardhaman,DAMAGORIA,0.14,BCCL,Coal,G,OC,23.7611,86.8531,"Google Maps: https://www.google.com/maps/place/Damagoria+Colliery/@23.7610966,86.8528888,20z/data=!4m5!3m4!1s0x39f6df9c5597260f:0x1efec0933571eeef!8m2!3d23.7610982!4d86.8531588",Exact,
63,West Bengal,Paschim Bardhaman,MADHAIPUR,0.37,ECL,Coal,G,Mixed,23.7037,87.3467,"Google Maps: https://www.google.com/maps/search/MADHAIPUR+COLLIERY/@23.7037576,87.3445963,17z/data=!3m1!4b1",Exact,
64,West Bengal,Paschim Bardhaman,Sarisatolli (CAPTIVE),1.856,CESC,Coal,P,OC,23.8012,87.0356,"Google Maps: https://www.google.com/maps/place/Sarshatali,+West+Bengal,+India/@23.8008793,87.0308676,16z/data=!4m5!3m4!1s0x39f72313d3df1d49:0x7e8ee2468bee3971!8m2!3d23.7974032!4d87.0349421",Approximate: center coordinates of Sarshatali area,
65,West Bengal,Paschim Bardhaman,Ramnagar coal mine (CAPTIVE),0.23,SAIL,Coal,G,OC,23.7564,86.8359,"Google Maps: https://www.google.com/maps/place/Ramnagar+Colliery/@23.7563451,86.8356417,19z/data=!4m5!3m4!1s0x39f6de6cbe0a9e5d:0x8008da659ccd3f7f!8m2!3d23.756322!4d86.8358389",Exact,
66,West Bengal,Bankura,Ardhagram Coal Mine (CAPTIVE),0.161,OCL Iron Steel Limited,Coal,P,OC,23.5827,87.0861,"Google Maps: https://www.google.com/maps/place/Ardhagram,+West+Bengal+722143,+India/@23.5823949,87.0789027,15z/data=!4m8!1m2!2m1!1smine+near+Ardhagram,+West+Bengal,+India!3m4!1s0x39f7105ca5a9fb5b:0xa9b9aa85f623d74a!8m2!3d23.5828581!4d87.0861495",Approximate: center coordinates of Ardhagram,
67,West Bengal,Bankura, KALIDASPUR PROJECT ,0.09,ECL,Coal,G,UG,23.5939,87.0365,"Google Maps: https://www.google.com/maps/place/Kalidaspur+UG+Mine+(ECL),+Agent+Office/@23.5940465,87.0337199,17z/data=!4m5!3m4!1s0x39f71b408355fbdd:0x38fe7dbe74e33def!8m2!3d23.5938493!4d87.0365262",Approximate: coordinates of Kalidaspur UG Mine Agent Office,
68,West Bengal,Purulia, PARBELIA ,0.06,ECL,Coal,G,UG,23.6733,86.8257,"Google Maps: https://www.google.com/maps/place/PARBELIA+COLLIERY/@23.6733327,86.8253701,20z/data=!4m13!1m7!3m6!1s0x39f6e11783aa9807:0x97a764e98aa33d4a!2sParbelia,+West+Bengal+713324,+India!3b1!8m2!3d23.6742592!4d86.8195237!3m4!1s0x39f6e12db8d034a9:0xa9493a67a59c8bbf!8m2!3d23.6733053!4d86.8256781",Approximate: PIN 713324,
